2015-07-22, 80.46, 79.25, -1.30, -1.61%, 78.50, 80.55, 884560, 704185.38, 1.63%
2015-07-23, 79.95, 82.57, 3.32, 4.19%, 79.48, 82.78, 1545230, 1263857.25, 2.85%
2015-07-24, 82.69, 80.62, -1.95, -2.36%, 80.55, 82.69, 1181782, 961855.81, 2.18%
2015-07-27, 39.89, 36.56, -3.50, -8.74%, 36.39, 40.08, 1712596, 657724.75, 1.58%
2015-07-28, 35.01, 35.10, -1.46, -3.99%, 34.58, 36.73, 3397710, 1204403.25, 3.14%
2015-07-29, 35.76, 34.94, -0.16, -0.46%, 33.80, 35.98, 2964852, 1025999.69, 2.74%
2015-07-30, 34.90, 34.31, -0.63, -1.80%, 34.10, 36.08, 2341074, 824815.69, 2.16%
2015-07-31, 34.01, 33.37, -0.94, -2.74%, 33.11, 34.42, 2036414, 685198.94, 1.88%
2015-08-03, 33.00, 33.36, -0.01, -0.03%, 32.28, 33.39, 2321994, 759828.12, 2.14%
2015-08-04, 33.10, 34.21, 0.85, 2.55%, 32.95, 34.30, 1549591, 521580.34, 1.43%
2015-08-05, 34.00, 33.29, -0.92, -2.69%, 33.21, 34.09, 1293195, 435484.53, 1.19%
2015-08-06, 32.77, 32.89, -0.40, -1.20%, 32.61, 33.64, 961708, 318175.47, 0.89%
2015-08-07, 33.34, 33.89, 1.00, 3.04%, 33.15, 34.24, 1524162, 515693.94, 1.41%
2015-08-10, 34.00, 35.09, 1.20, 3.54%, 33.57, 35.44, 2198393, 759585.56, 2.03%
2015-08-11, 34.90, 34.87, -0.22, -0.63%, 34.70, 35.69, 1664871, 585143.62, 1.54%
2015-08-12, 34.50, 33.79, -1.08, -3.10%, 33.77, 34.76, 1333463, 457551.62, 1.23%
2015-08-13, 33.71, 34.07, 0.28, 0.83%, 33.50, 34.28, 1100030, 373036.53, 1.02%
2015-08-14, 34.18, 33.89, -0.18, -0.53%, 33.80, 34.26, 1155957, 392370.72, 1.07%
2015-08-17, 33.41, 32.97, -0.92, -2.71%, 32.60, 33.49, 1521704, 501393.00, 1.40%
2015-08-18, 33.03, 31.29, -1.68, -5.10%, 31.24, 33.63, 2103894, 683621.69, 1.94%
2015-08-19, 30.95, 31.41, 0.12, 0.38%, 30.50, 31.64, 1614534, 502606.12, 1.49%
2015-08-20, 31.00, 30.55, -0.86, -2.74%, 30.52, 31.40, 1098640, 340117.75, 1.01%
2015-08-21, 30.46, 29.39, -1.16, -3.80%, 29.30, 31.15, 2058582, 621677.44, 1.90%
2015-08-24, 28.49, 26.45, -2.94, -10.00%, 26.45, 28.50, 4032962, 1091601.00, 3.72%
2015-08-25, 25.30, 25.11, -1.34, -5.07%, 24.65, 27.55, 4316162, 1130180.62, 3.98%
2015-08-26, 25.20, 26.36, 1.25, 4.98%, 25.12, 27.30, 3826692, 1002484.31, 3.53%
2015-08-27, 27.40, 29.00, 2.64, 10.02%, 26.97, 29.00, 3939984, 1100123.50, 3.64%
2015-08-28, 29.50, 29.65, 0.65, 2.24%, 28.79, 30.39, 3319340, 986053.50, 3.06%
2015-08-31, 28.86, 30.29, 0.64, 2.16%, 28.52, 30.35, 2894666, 850954.25, 2.67%
2015-09-01, 29.53, 30.16, -0.13, -0.43%, 28.65, 30.18, 3690912, 1098064.75, 3.41%
2015-09-02, 29.15, 29.98, -0.18, -0.60%, 29.03, 30.24, 3735059, 1115712.12, 3.45%
2015-09-07, 29.65, 28.88, -1.10, -3.67%, 28.60, 30.28, 1363133, 401971.91, 1.26%
2015-09-08, 28.86, 29.76, 0.88, 3.05%, 28.86, 29.87, 1255286, 369442.91, 1.16%
2015-09-09, 29.86, 30.22, 0.64, 2.16%, 29.61, 30.66, 1430502, 432147.25, 1.32%
2015-09-10, 30.08, 30.27, 0.05, 0.17%, 29.81, 30.36, 878889, 264709.97, 0.81%
2015-09-11, 30.16, 29.84, -0.43, -1.42%, 29.61, 30.47, 708262, 212817.42, 0.65%
2015-09-14, 29.97, 30.14, 0.30, 1.01%, 28.73, 30.20, 2206747, 649688.75, 2.04%
2015-09-15, 29.60, 29.46, -0.68, -2.26%, 29.00, 29.79, 1183297, 347600.12, 1.09%
2015-09-16, 29.33, 30.55, 1.09, 3.70%, 29.07, 31.17, 1148147, 344317.47, 1.06%
2015-09-17, 30.49, 30.26, -0.29, -0.95%, 30.10, 31.18, 1016070, 311457.41, 0.94%
2015-09-18, 30.42, 30.57, 0.31, 1.02%, 30.36, 31.10, 856439, 263222.03, 0.79%
2015-09-21, 30.21, 30.96, 0.39, 1.28%, 30.05, 31.15, 810319, 249764.64, 0.75%
2015-09-22, 31.10, 31.77, 0.81, 2.62%, 30.83, 32.06, 1200726, 380723.75, 1.11%
2015-09-23, 31.29, 30.77, -1.00, -3.15%, 30.71, 31.58, 1012415, 314768.91, 0.93%
2015-09-24, 30.91, 31.14, 0.37, 1.20%, 30.84, 31.33, 638528, 198633.39, 0.59%
2015-09-25, 31.01, 31.23, 0.09, 0.29%, 30.58, 31.40, 711486, 220716.06, 0.66%
2015-09-28, 31.05, 30.90, -0.33, -1.06%, 30.68, 31.13, 271792, 84041.12, 0.25%
2015-09-29, 30.48, 29.93, -0.97, -3.14%, 29.67, 30.48, 640590, 192377.97, 0.59%
2015-09-30, 30.05, 29.86, -0.07, -0.23%, 29.77, 30.18, 365549, 109458.80, 0.34%
